DateRcv,SiteNo,ArtNo,ReceiveVamt,ReceiveQty,,,,,
12/1/2022,1,0,207.8855,12,,,,,
12/1/2022,1,6,227.7,7,,,,,
12/1/2022,3,4,396.75,17,,,,,
12/1/2022,3,3,246.1,23,,,,,
12/1/2022,3,7,763.922,23,,,,,
12/1/2022,3,7,381.961,12,,,,,
12/1/2022,3,6,2960.1,90,,,,,
12/1/2022,3,0,831.542,46,,,,,
12/1/2022,3,0,1455.1985,81,,,,,
12/1/2022,3,0,207.8855,12,,,,,
12/1/2022,3,2,759,23,,,,,
12/1/2022,3,9,541.259,23,,,,,
12/1/2022,2,0,213.6355,12,,,,,
12/1/2022,2,8,910.8,21,,,,,
12/1/2022,2,7,1104,35,,,,,
12/1/2022,2,2,1476.255,45,,,,,
12/1/2022,4,3,246.1,23,,,,,
12/1/2022,4,0,623.6565,35,,,,,
12/1/2022,4,0,207.8855,12,,,,,
12/1/2022,0,7,397.762,12,,,,,
12/1/2022,0,0,210.4615,12,,,,,
12/1/2022,0,9,273.125,12,,,,,
12/1/2022,4,6,227.7,7,,,,,
12/1/2022,4,9,270.6295,12,,,,,
13/1/2022,4,7,1748,46,,,,,
13/1/2022,4,0,207.322,12,,,,,
13/1/2022,4,9,541.167,23,,,,,
13/1/2022,4,7,395.83,12,,,,,
13/1/2022,4,7,1583.32,46,,,,,
13/1/2022,4,2,759,23,,,,,
13/1/2022,4,6,1366.2,41,,,,,
13/1/2022,4,4,396.75,17,,,,,
13/1/2022,4,0,1035,58,,,,,
13/1/2022,4,5,988.26975,17,,,,,
13/1/2022,3,5,988.26975,17,,,,,
13/1/2022,3,0,621.759,35,,,,,
13/1/2022,3,2,759,23,,,,,
13/1/2022,3,3,492.2,46,,,,,
13/1/2022,3,4,396.75,17,,,,,
13/1/2022,3,6,2504.7,76,,,,,
13/1/2022,3,9,541.167,23,,,,,
13/1/2022,3,7,388.0675,12,,,,,
13/1/2022,3,7,1164.2025,35,,,,,
13/1/2022,1,9,270.5835,12,,,,,
13/1/2022,1,6,2277,69,,,,,
13/1/2022,1,3,492.2,46,,,,,
13/1/2022,0,3,492.2,46,,,,,
13/1/2022,1,0,207.299,12,,,,,
13/1/2022,1,0,414.598,23,,,,,
13/1/2022,1,4,1190.25,52,,,,,
13/1/2022,1,7,1164.8925,35,,,,,
13/1/2022,0,4,396.75,17,,,,,
13/1/2022,0,0,207.483,12,,,,,
13/1/2022,0,6,1366.2,41,,,,,
13/1/2022,0,9,270.6295,12,,,,,
13/1/2022,2,0,207.621,12,,,,,
13/1/2022,2,3,492.2,46,,,,,
13/1/2022,2,9,270.6295,12,,,,,
13/1/2022,2,6,1138.5,35,,,,,
13/1/2022,2,0,1221.3,68,,,,,
14/1/2022,4,4,396.0255,17,,,,,
14/1/2022,4,7,1197.978,35,,,,,
14/1/2022,4,6,910.8,28,,,,,
14/1/2022,4,7,1138.5,35,,,,,
14/1/2022,4,0,1035,58,,,,,
14/1/2022,4,9,541.144,23,,,,,
14/1/2022,4,5,1961.187,35,,,,,
14/1/2022,4,9,541.144,23,,,,,
14/1/2022,4,7,399.326,12,,,,,
14/1/2022,4,3,246.1,23,,,,,
14/1/2022,4,2,759,23,,,,,
14/1/2022,1,7,398.9695,12,,,,,
14/1/2022,1,4,792.465,35,,,,,
14/1/2022,1,7,1196.9085,35,,,,,
14/1/2022,0,2,759,23,,,,,
14/1/2022,0,3,492.2,46,,,,,
14/1/2022,0,9,270.5835,12,,,,,
14/1/2022,0,6,910.8,28,,,,,
14/1/2022,0,7,408.4685,12,,,,,
14/1/2022,0,7,408.4685,12,,,,,
14/1/2022,1,5,980.5935,17,,,,,
14/1/2022,1,6,1821.6,55,,,,,
14/1/2022,1,0,414.184,23,,,,,
14/1/2022,1,2,759,23,,,,,
14/1/2022,1,9,541.144,23,,,,,
14/1/2022,0,4,396.75,17,,,,,
14/1/2022,0,0,207.138,12,,,,,
14/1/2022,1,3,246.1,23,,,,,
14/1/2022,3,5,980.5935,17,,,,,
14/1/2022,3,2,759,23,,,,,
14/1/2022,3,9,270.572,12,,,,,
14/1/2022,3,6,1821.6,55,,,,,
